JobOfferID,LocationID,CreatedBy,Status,Date,StartTime,EndTime,MaxWage,WorkingDays,Hours
1,17,88,Completed,2024-08-29,09:00:00,17:00:00,42.85,3,5
2,1,70,Confirmed,2024-05-18,09:00:00,17:00:00,26.87,4,6
3,5,26,Running,2024-02-27,09:00:00,17:00:00,44.71,1,6
4,15,40,Open,2024-08-02,09:00:00,17:00:00,31.18,4,8
5,5,29,Running,2024-02-22,09:00:00,17:00:00,40.26,1,8
6,14,1,Completed,2025-01-05,09:00:00,17:00:00,24.09,5,7
7,7,11,Open,2024-07-22,09:00:00,17:00:00,42.92,5,5
8,14,14,Running,2024-03-06,09:00:00,17:00:00,20.15,3,6
9,1,15,Completed,2024-04-13,09:00:00,17:00:00,41.93,1,8
10,17,84,Completed,2024-12-02,09:00:00,17:00:00,45.05,1,7
11,7,15,Open,2024-03-19,09:00:00,17:00:00,47.18,3,6
12,16,51,Confirmed,2024-03-29,09:00:00,17:00:00,34.04,3,6
13,3,26,Open,2024-01-29,09:00:00,17:00:00,42.22,3,7
14,16,27,Completed,2024-04-26,09:00:00,17:00:00,30.72,1,5
15,16,29,Running,2024-04-07,09:00:00,17:00:00,48.89,3,8
16,16,23,Open,2024-05-15,09:00:00,17:00:00,24.33,3,6
17,5,76,Completed,2024-09-13,09:00:00,17:00:00,33.97,5,7
18,6,84,Completed,2024-05-21,09:00:00,17:00:00,38.95,3,8
19,2,76,Completed,2024-09-12,09:00:00,17:00:00,28.58,1,6
20,10,23,Confirmed,2024-10-07,09:00:00,17:00:00,46.07,5,5
21,17,27,Completed,2024-08-24,09:00:00,17:00:00,28.17,1,8
22,2,22,Open,2024-07-17,09:00:00,17:00:00,36.5,4,7
23,2,27,Completed,2024-11-07,09:00:00,17:00:00,43.57,5,8
24,18,42,Confirmed,2024-08-17,09:00:00,17:00:00,41.05,4,7
25,13,37,Confirmed,2024-10-23,09:00:00,17:00:00,41.76,2,5
26,8,37,Open,2024-06-25,09:00:00,17:00:00,32.33,1,8
27,12,51,Running,2024-12-08,09:00:00,17:00:00,30.7,2,5
28,13,15,Running,2024-02-20,09:00:00,17:00:00,31.97,3,4
29,2,51,Completed,2024-10-09,09:00:00,17:00:00,31.81,2,4
30,7,31,Confirmed,2024-06-19,09:00:00,17:00:00,44.13,5,8
